SensorID;Datum;Tijd;GedetecteerdObject
0x001b;20-5-2026;13:45:18;Voetganger
0x001b;20-5-2026;13:47:35;Voetganger
0x001b;20-5-2026;13:49:24;Voetganger
0x001b;20-5-2026;13:51:56;Fietser
0x001b;20-5-2026;13:58:32;Fietser
0x001b;20-5-2026;14:01:52;Voetganger
0x001b;20-5-2026;14:05:22;Voetganger
0x001b;20-5-2026;14:09:41;Fietser
0x001b;20-5-2026;14:12:32;Voetganger
0x001b;20-5-2026;14:20:54;Fietser
0x001b;20-5-2026;14:22:13;Voetganger
0x001b;20-5-2026;14:30:24;Fietser
0x001b;20-5-2026;14:32:28;Voetganger
0x001b;20-5-2026;14:35:45;Voetganger
0x001b;20-5-2026;14:39:23;Fietser
0x001b;20-5-2026;14:41:13;Fietser
0x001b;20-5-2026;14:43:42;Voetganger
0x001b;20-5-2026;14:46:28;Voetganger
0x001b;20-5-2026;14:48:34;Voetganger
0x001b;20-5-2026;14:49:53;Voetganger
0x001b;20-5-2026;14:53:56;Fietser
0x001b;20-5-2026;14:57:23;Voetganger
0x001b;20-5-2026;14:59:52;Fietser
0x001b;20-5-2026;15:02:41;Fietser
0x001b;20-5-2026;15:06:12;Voetganger
0x001b;20-5-2026;15:09:32;Voetganger
0x001b;20-5-2026;15:11:42;Fietser
0x001b;20-5-2026;15:13:12;Voetganger
0x001b;20-5-2026;15:16:48;Voetganger
0x001b;20-5-2026;15:18:00;Voetganger
0x001b;20-5-2026;15:19:42;Fietser
0x001b;20-5-2026;15:21:51;Voetganger
0x001b;20-5-2026;15:25:17;Fietser
0x001b;20-5-2026;15:27:27;Voetganger
0x001b;20-5-2026;15:30:24;Fietser
0x001b;20-5-2026;15:34:26;Voetganger
0x001b;20-5-2026;15:36:46;Fietser
0x001b;20-5-2026;15:41:51;Voetganger
0x001b;20-5-2026;15:44:02;Fietser
0x001b;20-5-2026;15:49:26;Fietser
0x001b;20-5-2026;15:52:23;Voetganger
0x001b;20-5-2026;15:54:43;Fietser
0x001b;20-5-2026;15:57:47;Fietser
0x001b;20-5-2026;16:00:14;Auto
0x001b;20-5-2026;16:02:25;Auto
0x001b;20-5-2026;16:03:59;Voetganger
0x001b;20-5-2026;16:06:21;Voetganger
0x001b;20-5-2026;16:08:42;Fietser
0x001b;20-5-2026;16:09:23;Voetganger
0x001b;20-5-2026;16:15:37;Fietser
0x001b;20-5-2026;16:17:12;Voetganger
0x001b;20-5-2026;16:18:28;Voetganger
0x001b;20-5-2026;16:22:13;Fietser
0x001b;20-5-2026;16:23:59;Voetganger
0x001b;20-5-2026;16:30:43;Voetganger
0x001b;20-5-2026;16:33:38;Auto
0x001b;20-5-2026;16:35:47;Voetganger
0x001b;20-5-2026;16:40:19;Fietser
0x001b;20-5-2026;16:43:26;Voetganger
0x001b;20-5-2026;16:44:12;Fietser
0x001b;20-5-2026;16:44:47;Fietser
0x001b;20-5-2026;16:45:56;Voetganger
0x001b;20-5-2026;16:47:13;Voetganger
0x001b;20-5-2026;16:48:28;Voetganger
0x001b;20-5-2026;16:49:36;Voetganger
0x001b;20-5-2026;16:53:29;Voetganger
0x001b;20-5-2026;16:59:18;Voetganger
0x001b;20-5-2026;17:02:36;Voetganger
0x001b;20-5-2026;17:08:59;Voetganger
0x001b;20-5-2026;17:09:20;Voetganger
0x001b;20-5-2026;17:14:48;Fietser
0x001b;20-5-2026;17:18:38;Voetganger
0x001b;20-5-2026;17:22:45;Fietser
0x001b;20-5-2026;17:29:34;Voetganger
0x001b;20-5-2026;17:32:27;Voetganger
0x001b;20-5-2026;17:35:47;Voetganger
0x001b;20-5-2026;17:36:37;Voetganger
0x001b;20-5-2026;17:39:35;Fietser
0x001b;20-5-2026;17:40:12;Fietser
0x001b;20-5-2026;17:42:58;Voetganger
0x001b;20-5-2026;17:45:34;Fietser
